Customer,Date,Product,Speed,Traffic,Service,Province,City,Duration_month
خالی,1401/04/15,TDLTE,40960,20480,TDLTE,فارس,جهرم,1
خالی,1401/04/22,TDLTE,40960,20480,TDLTE,خراسان رضوی,مشهد,1
خالی,1401/05/02,TDLTE,40960,20480,TDLTE,خراسان رضوی,مشهد,1
خالی,1401/04/07,TDLTE,40960,46080,TDLTE,البرز,کرج,1
خالی,1401/04/01,TDLTE,40960,102400,TDLTE,خوزستان,بندر ماهشهر,1
خالی,1401/04/11,TDLTE,40960,102400,TDLTE,ایلام,ایلام,1
خالی,1401/05/02,TDLTE,40960,102400,TDLTE,قزوین,قزوین,1
خالی,1401/04/30,TDLTE,40960,51200,TDLTE,اصفهان,اصفهان,3
خالی,1401/04/13,TDLTE,40960,39254,TDLTE,البرز,کرج,6
خالی,1401/05/06,TDLTE,40960,39254,TDLTE,البرز,کرج,6
خالی,1401/06/09,TDLTE,40960,39254,TDLTE,آذربایجان شرقی,تبریز,6
خالی,1401/04/07,TDLTE,40960,42667,TDLTE,البرز,کرج,12
خالی,1401/04/29,TDLTE,40960,42667,TDLTE,اصفهان,اصفهان,12
خالی,1401/05/20,TDLTE,40960,42667,TDLTE,البرز,کرج,12
خالی,1401/05/31,شاهین,20480,215040,VDSL,تهران,تهران,12
خالی,1401/05/31,شاهین,20480,215040,VDSL,تهران,تهران,12
خالی,1401/05/31,شاهین,20480,215040,VDSL,تهران,تهران,12
خالی,1401/06/09,شاهین,30720,322560,VDSL,گیلان,رشت,3
خالی,1401/06/09,شاهین,51200,483840,VDSL,تهران,پردیس,1
خالی,1401/06/09,شاهین,51200,483840,VDSL,تهران,پردیس,3
خالی,1401/06/07,چیتا,20480,268800,FTTH,گیلان,رشت,1
خالی,1401/05/22,چیتا,20480,268800,FTTH,هرمزگان,کیش,3
خالی,1401/06/07,چیتا,51200,591360,FTTH,گیلان,رشت,1
خالی,1401/04/18,چیتا,51200,591360,FTTH,خوزستان,اهواز,3
خالی,1401/04/20,چیتا,51200,591360,FTTH,خوزستان,اهواز,3
خالی,1401/05/11,چیتا,51200,591360,FTTH,هرمزگان,کیش,12
خالی,1401/05/02,ترنج,4096,80640,ADSL,البرز,شهر جدید هشتگرد,1
خالی,1401/05/06,ترنج,4096,80640,ADSL,تهران,پردیس,1
